year,state_name,state_alpha,region,planted_all,harvested_grain,yield_grain,production_grain
2005,COLORADO,CO,Semi-Arid Continental,280000,235000,38.5,9040000
2005,IOWA,IA,Temperate Humid,12800000,12500000,173.0,2162500000
2005,ILLINOIS,IL,Temperate Humid,12100000,11950000,143.0,1708850000
2005,INDIANA,IN,Temperate Humid,5900000,5770000,154.0,888580000
2005,KANSAS,KS,Semi-Arid Continental,2060000,1940000,94.0,182800000
2005,KENTUCKY,KY,Subtropical Humid,1250000,1180000,132.0,155760000
2005,MICHIGAN,MI,Temperate Humid,2250000,2010000,143.0,287430000
2005,MINNESOTA,MN,Temperate Humid,7300000,6850000,174.0,1191900000
2005,MISSOURI,MO,Temperate Humid,3100000,2970000,111.0,329670000
2005,NORTH CAROLINA,NC,Subtropical Humid,750000,700000,120.0,84000000
2005,NORTH DAKOTA,ND,Semi-Arid Continental,1338000,1139000,127.5,145255000
2005,NEBRASKA,NE,Semi-Arid Continental,3460000,3325000,108.5,360750000
2005,OHIO,OH,Temperate Humid,3450000,3250000,143.0,464750000
2005,PENNSYLVANIA,PA,Temperate Humid,1350000,960000,122.0,117120000
2005,SOUTH DAKOTA,SD,Semi-Arid Continental,4280000,3790000,116.8,442850000
2005,TENNESSEE,TN,Subtropical Humid,650000,595000,130.0,77350000
2005,TEXAS,TX,Semi-Arid Continental,1210000,1110000,70.6,78420000
2005,WISCONSIN,WI,Temperate Humid,3800000,2900000,148.0,429200000
2006,COLORADO,CO,Semi-Arid Continental,290000,235000,32.0,7520000
2006,IOWA,IA,Temperate Humid,12600000,12350000,166.0,2050100000
2006,ILLINOIS,IL,Temperate Humid,11300000,11150000,163.0,1817450000
2006,INDIANA,IN,Temperate Humid,5500000,5380000,157.0,844660000
2006,KANSAS,KS,Semi-Arid Continental,1990000,1720000,72.0,124000000
2006,KENTUCKY,KY,Subtropical Humid,1120000,1040000,146.0,151840000
2006,MICHIGAN,MI,Temperate Humid,2200000,1950000,147.0,286650000
2006,MINNESOTA,MN,Temperate Humid,7300000,6850000,161.0,1102850000
2006,MISSOURI,MO,Temperate Humid,2700000,2630000,138.0,362940000
2006,NORTH CAROLINA,NC,Subtropical Humid,790000,740000,132.0,97680000
2006,NORTH DAKOTA,ND,Semi-Arid Continental,1605800,1326200,108.3,143680000
2006,NEBRASKA,NE,Semi-Arid Continental,3235000,3035000,101.0,306535000
2006,OHIO,OH,Temperate Humid,3150000,2960000,159.0,470640000
2006,PENNSYLVANIA,PA,Temperate Humid,1350000,960000,122.0,117120000
2006,SOUTH DAKOTA,SD,Semi-Arid Continental,4324000,3054000,93.1,284340000
2006,TENNESSEE,TN,Subtropical Humid,550000,500000,125.0,62500000
2006,TEXAS,TX,Semi-Arid Continental,996000,787000,72.0,57000000
2006,WISCONSIN,WI,Temperate Humid,3650000,2800000,143.0,400400000
2007,COLORADO,CO,Semi-Arid Continental,450000,420000,60.5,25400000
2007,IOWA,IA,Temperate Humid,14200000,13900000,171.0,2376900000
2007,ILLINOIS,IL,Temperate Humid,13200000,13050000,175.0,2283750000
2007,INDIANA,IN,Temperate Humid,6500000,6370000,154.0,980980000
2007,KANSAS,KS,Semi-Arid Continental,2275000,2113000,97.0,205040000
2007,KENTUCKY,KY,Subtropical Humid,1440000,1340000,128.0,171520000
2007,MICHIGAN,MI,Temperate Humid,2650000,2340000,123.0,287820000
2007,MINNESOTA,MN,Temperate Humid,8400000,7850000,146.0,1146100000
2007,MISSOURI,MO,Temperate Humid,3450000,3270000,140.0,457800000
2007,NORTH CAROLINA,NC,Subtropical Humid,1090000,1010000,100.0,101000000
2007,NORTH DAKOTA,ND,Semi-Arid Continental,2445200,2243100,114.5,256818000
2007,NEBRASKA,NE,Semi-Arid Continental,3555000,3468000,125.0,433500000
2007,OHIO,OH,Temperate Humid,3850000,3610000,150.0,541500000
2007,PENNSYLVANIA,PA,Temperate Humid,1430000,980000,124.0,121520000
2007,SOUTH DAKOTA,SD,Semi-Arid Continental,4735000,4279000,118.6,507480000
2007,TENNESSEE,TN,Subtropical Humid,860000,790000,106.0,83740000
2007,TEXAS,TX,Semi-Arid Continental,1081000,1020000,101.0,102560000
2007,WISCONSIN,WI,Temperate Humid,4050000,3280000,135.0,442800000
2008,COLORADO,CO,Semi-Arid Continental,400000,300000,45.0,13600000
2008,IOWA,IA,Temperate Humid,13300000,12800000,171.0,2188800000
2008,ILLINOIS,IL,Temperate Humid,12100000,11900000,179.0,2130100000
2008,INDIANA,IN,Temperate Humid,5700000,5460000,160.0,873600000
2008,KANSAS,KS,Semi-Arid Continental,2275000,2104000,97.0,203190000
2008,KENTUCKY,KY,Subtropical Humid,1210000,1120000,136.0,152320000
2008,MICHIGAN,MI,Temperate Humid,2400000,2140000,138.0,295320000
2008,MINNESOTA,MN,Temperate Humid,7700000,7200000,162.0,1166400000
2008,MISSOURI,MO,Temperate Humid,2800000,2650000,144.0,381600000
2008,NORTH CAROLINA,NC,Subtropical Humid,900000,830000,78.0,64740000
2008,NORTH DAKOTA,ND,Semi-Arid Continental,2441000,2199000,123.0,269731000
2008,NEBRASKA,NE,Semi-Arid Continental,3440000,3335000,130.0,433550000
2008,OHIO,OH,Temperate Humid,3300000,3120000,131.0,408720000
2008,PENNSYLVANIA,PA,Temperate Humid,1350000,880000,133.0,117040000
2008,SOUTH DAKOTA,SD,Semi-Arid Continental,4535000,4198000,131.0,550050000
2008,TENNESSEE,TN,Subtropical Humid,690000,630000,118.0,74340000
2008,TEXAS,TX,Semi-Arid Continental,1150000,1020000,62.0,63440000
2008,WISCONSIN,WI,Temperate Humid,3800000,2880000,137.0,394560000
2009,COLORADO,CO,Semi-Arid Continental,300000,290000,67.0,19470000
2009,IOWA,IA,Temperate Humid,13600000,13300000,181.0,2407300000
2009,ILLINOIS,IL,Temperate Humid,12000000,11800000,174.0,2053200000
2009,INDIANA,IN,Temperate Humid,5600000,5460000,171.0,933660000
2009,KANSAS,KS,Semi-Arid Continental,2485000,2350000,123.0,288300000
2009,KENTUCKY,KY,Subtropical Humid,1220000,1150000,165.0,189750000
2009,MICHIGAN,MI,Temperate Humid,2350000,2090000,148.0,309320000
2009,MINNESOTA,MN,Temperate Humid,7600000,7150000,174.0,1244100000
2009,MISSOURI,MO,Temperate Humid,3000000,2920000,153.0,446760000
2009,NORTH CAROLINA,NC,Subtropical Humid,870000,800000,117.0,93600000
2009,NORTH DAKOTA,ND,Semi-Arid Continental,1950000,1750000,121.0,211750000
2009,NEBRASKA,NE,Semi-Arid Continental,3680000,3560000,149.8,533424000
2009,OHIO,OH,Temperate Humid,3350000,3140000,171.0,536940000
2009,PENNSYLVANIA,PA,Temperate Humid,1350000,920000,142.0,130640000
2009,SOUTH DAKOTA,SD,Semi-Arid Continental,4785000,4476000,150.0,669817000
2009,TENNESSEE,TN,Subtropical Humid,670000,590000,148.0,87320000
2009,TEXAS,TX,Semi-Arid Continental,1160000,890000,48.0,42732000
2009,WISCONSIN,WI,Temperate Humid,3850000,2930000,153.0,448290000
2010,COLORADO,CO,Semi-Arid Continental,490000,470000,73.9,34710000
2010,IOWA,IA,Temperate Humid,13400000,13050000,165.0,2153250000
2010,ILLINOIS,IL,Temperate Humid,12600000,12400000,157.0,1946800000
2010,INDIANA,IN,Temperate Humid,5900000,5720000,157.0,898040000
2010,KANSAS,KS,Semi-Arid Continental,3180000,3050000,91.2,278210000
2010,KENTUCKY,KY,Subtropical Humid,1340000,1230000,124.0,152520000
2010,MICHIGAN,MI,Temperate Humid,2400000,2100000,149.0,312900000
2010,MINNESOTA,MN,Temperate Humid,7700000,7300000,177.0,1292100000
2010,MISSOURI,MO,Temperate Humid,3150000,3000000,123.0,369000000
2010,NORTH CAROLINA,NC,Subtropical Humid,910000,840000,91.0,76440000
2010,NORTH DAKOTA,ND,Semi-Arid Continental,2050000,1880000,132.0,248160000
2010,NEBRASKA,NE,Semi-Arid Continental,3730000,3610000,137.5,496550000
2010,OHIO,OH,Temperate Humid,3450000,3270000,160.0,523200000
2010,PENNSYLVANIA,PA,Temperate Humid,1350000,910000,128.0,116480000
2010,SOUTH DAKOTA,SD,Semi-Arid Continental,4550000,4220000,135.0,569700000
2010,TENNESSEE,TN,Subtropical Humid,710000,640000,117.0,74880000
2010,TEXAS,TX,Semi-Arid Continental,1140000,1030000,86.8,89379000
2010,WISCONSIN,WI,Temperate Humid,3900000,3100000,162.0,502200000
2011,COLORADO,CO,Semi-Arid Continental,610000,515000,55.1,28400000
2011,IOWA,IA,Temperate Humid,14100000,13700000,172.0,2356400000
2011,ILLINOIS,IL,Temperate Humid,12600000,12350000,157.0,1938950000
2011,INDIANA,IN,Temperate Humid,5900000,5750000,146.0,839500000
2011,KANSAS,KS,Semi-Arid Continental,3210000,2670000,76.4,203900000
2011,KENTUCKY,KY,Subtropical Humid,1380000,1300000,139.0,180700000
2011,MICHIGAN,MI,Temperate Humid,2500000,2190000,153.0,335070000
2011,MINNESOTA,MN,Temperate Humid,8100000,7700000,155.0,1193500000
2011,MISSOURI,MO,Temperate Humid,3300000,3050000,114.0,347700000
2011,NORTH CAROLINA,NC,Subtropical Humid,870000,815000,84.0,68460000
2011,NORTH DAKOTA,ND,Semi-Arid Continental,2230000,2060000,105.0,216300000
2011,NEBRASKA,NE,Semi-Arid Continental,4085000,4000000,132.0,528000000
2011,OHIO,OH,Temperate Humid,3400000,3200000,153.0,489600000
2011,PENNSYLVANIA,PA,Temperate Humid,1420000,960000,111.0,106560000
2011,SOUTH DAKOTA,SD,Semi-Arid Continental,5200000,4950000,132.0,653400000
2011,TENNESSEE,TN,Subtropical Humid,790000,735000,131.0,96285000
2011,TEXAS,TX,Semi-Arid Continental,930000,652000,40.8,26588000
2011,WISCONSIN,WI,Temperate Humid,4150000,3320000,155.0,514600000
2012,COLORADO,CO,Semi-Arid Continental,560000,305000,17.5,5330000
2012,IOWA,IA,Temperate Humid,14200000,13700000,137.0,1876900000
2012,ILLINOIS,IL,Temperate Humid,12800000,12250000,105.0,1286250000
2012,INDIANA,IN,Temperate Humid,6250000,6030000,99.0,596970000
2012,KANSAS,KS,Semi-Arid Continental,3090000,2450000,49.0,119939000
2012,KENTUCKY,KY,Subtropical Humid,1650000,1530000,68.0,104040000
2012,MICHIGAN,MI,Temperate Humid,2700000,2380000,132.0,314160000
2012,MINNESOTA,MN,Temperate Humid,8750000,8330000,165.0,1374450000
2012,MISSOURI,MO,Temperate Humid,3600000,3300000,75.0,247500000
2012,NORTH CAROLINA,NC,Subtropical Humid,870000,820000,117.0,95940000
2012,NORTH DAKOTA,ND,Semi-Arid Continental,3640000,3460000,122.0,422120000
2012,NEBRASKA,NE,Semi-Arid Continental,4150000,3325000,58.5,194500000
2012,OHIO,OH,Temperate Humid,3900000,3650000,120.0,438000000
2012,PENNSYLVANIA,PA,Temperate Humid,1460000,1000000,131.0,131000000
2012,SOUTH DAKOTA,SD,Semi-Arid Continental,6150000,5300000,101.0,535300000
2012,TENNESSEE,TN,Subtropical Humid,1040000,960000,85.0,81600000
2012,TEXAS,TX,Semi-Arid Continental,920000,766000,83.8,64202000
2012,WISCONSIN,WI,Temperate Humid,4350000,3300000,120.0,396000000
2013,COLORADO,CO,Semi-Arid Continental,460000,340000,31.0,10540000
2013,IOWA,IA,Temperate Humid,13600000,13050000,164.0,2140200000
2013,ILLINOIS,IL,Temperate Humid,12000000,11800000,178.0,2100400000
2013,INDIANA,IN,Temperate Humid,6000000,5830000,177.0,1031910000
2013,KANSAS,KS,Semi-Arid Continental,2745000,2500000,88.0,219893000
2013,KENTUCKY,KY,Subtropical Humid,1530000,1430000,170.0,243100000
2013,MICHIGAN,MI,Temperate Humid,2600000,2230000,155.0,345650000
2013,MINNESOTA,MN,Temperate Humid,8600000,8140000,159.0,1294260000
2013,MISSOURI,MO,Temperate Humid,3350000,3200000,136.0,435200000
2013,NORTH CAROLINA,NC,Subtropical Humid,930000,860000,142.0,122120000
2013,NORTH DAKOTA,ND,Semi-Arid Continental,3850000,3600000,110.0,396000000
2013,NEBRASKA,NE,Semi-Arid Continental,4045000,3835000,128.7,493610000
2013,OHIO,OH,Temperate Humid,3900000,3740000,174.0,650760000
2013,PENNSYLVANIA,PA,Temperate Humid,1480000,1090000,146.0,159140000
2013,SOUTH DAKOTA,SD,Semi-Arid Continental,6200000,5860000,137.0,802820000
2013,TENNESSEE,TN,Subtropical Humid,890000,810000,156.0,126360000
2013,TEXAS,TX,Semi-Arid Continental,1222000,1017000,83.4,84774000
2013,WISCONSIN,WI,Temperate Humid,4100000,3030000,145.0,439350000
2014,COLORADO,CO,Semi-Arid Continental,369000,350000,61.2,21420000
2014,IOWA,IA,Temperate Humid,13700000,13300000,178.0,2367400000
2014,ILLINOIS,IL,Temperate Humid,11900000,11750000,200.0,2350000000
2014,INDIANA,IN,Temperate Humid,5900000,5770000,188.0,1084760000
2014,KANSAS,KS,Semi-Arid Continental,2550000,2406000,121.8,292947000
2014,KENTUCKY,KY,Subtropical Humid,1520000,1430000,158.0,225940000
2014,MICHIGAN,MI,Temperate Humid,2550000,2210000,161.0,355810000
2014,MINNESOTA,MN,Temperate Humid,8200000,7550000,156.0,1177800000
2014,MISSOURI,MO,Temperate Humid,3500000,3380000,186.0,628680000
2014,NORTH CAROLINA,NC,Subtropical Humid,840000,780000,132.0,102960000
2014,NORTH DAKOTA,ND,Semi-Arid Continental,2800000,2530000,124.0,313720000
2014,NEBRASKA,NE,Semi-Arid Continental,3810000,3697000,147.5,545474000
2014,OHIO,OH,Temperate Humid,3700000,3480000,176.0,612480000
2014,PENNSYLVANIA,PA,Temperate Humid,1460000,1030000,154.0,158620000
2014,SOUTH DAKOTA,SD,Semi-Arid Continental,5800000,5320000,148.0,787360000
2014,TENNESSEE,TN,Subtropical Humid,920000,840000,168.0,141120000
2014,TEXAS,TX,Semi-Arid Continental,1134000,1052000,99.8,104981000
